Table S3. Weighted sum activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
18,0.5,225,2382.8
18,0.5,250,2484.7
18,0.5,275,2577.4
18,0.5,300,2658.8
18,0.5,325,2734.9
18,0.5,350,2802.2
18,0.5,375,2864.9
18,0.5,400,2923.5
18,0.5,425,2974.2
18,0.5,450,3023.7
18,0.5,475,3068.2
18,0.5,500,3110.4
18,1,0,583.5
18,1,25,903.5
18,1,50,1088.3
18,1,75,1397.1
18,1,100,1649.4
18,1,125,1861.4
18,1,150,1376.3
18,1,175,1451.2
18,1,200,1514
18,1,225,1566.7
18,1,250,1613.5
18,1,275,1652.9
18,1,300,1688.3
18,1,325,1718.6
18,1,350,1746.5
18,1,375,1771.1
18,1,400,1793.7
18,1,425,1814.3
18,1,450,1831.9
18,1,475,1849.2
18,1,500,1863.3
18,2,0,573.1
18,2,25,904
18,2,50,1089.9
18,2,75,1399.5
18,2,100,1171.3
18,2,125,1286.6
18,2,150,1379.9
18,2,175,1455.1
18,2,200,1518.1
18,2,225,1571.1
18,2,250,1618
18,2,275,1657.6
18,2,300,1693.2
18,2,325,1723.5
18,2,350,1751.5
18,2,375,1776.2
18,2,400,1798.9
18,2,425,1819.7
