Table S2. Single node activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
8,0.1,180,10
8,0.1,190,10
8,0.1,200,10
8,0.1,210,10
8,0.1,220,10
8,0.1,230,10
8,0.1,240,10
8,0.1,250,10
8,0.1,260,10
8,0.1,270,10
8,0.1,280,10
8,0.1,290,10
8,0.1,300,10
8,0.1,310,10
8,0.1,320,10
8,0.1,330,10
8,0.1,340,10
8,0.1,350,10
8,0.1,360,10
8,0.1,370,10
8,0.1,380,10
8,0.1,390,10
8,0.1,400,10
8,0.1,410,10
8,0.1,420,10
8,0.1,430,10
8,0.1,440,10
8,0.1,450,10
8,0.1,460,10
8,0.1,470,10
8,0.1,480,10
8,0.1,490,10
8,0.1,500,10
8,0.2,0,65
8,0.2,10,50
8,0.2,20,40
8,0.2,30,30
8,0.2,40,20
8,0.2,50,15
8,0.2,60,15
8,0.2,70,10
8,0.2,80,10
8,0.2,90,10
8,0.2,100,10
8,0.2,110,10
8,0.2,120,10
8,0.2,130,10
8,0.2,140,5
8,0.2,150,5
8,0.2,160,5
8,0.2,170,5
8,0.2,180,5
8,0.2,190,5
8,0.2,200,5
8,0.2,210,5
8,0.2,220,5
8,0.2,230,5
8,0.2,240,5
8,0.2,250,5
8,0.2,260,5
8,0.2,270,5
8,0.2,280,5
8,0.2,290,5
8,0.2,300,5
8,0.2,310,5
8,0.2,320,5
8,0.2,330,5
8,0.2,340,5
8,0.2,350,5
8,0.2,360,5
8,0.2,370,5
8,0.2,380,5
8,0.2,390,5
8,0.2,400,5
8,0.2,410,5
8,0.2,420,5
8,0.2,430,5
8,0.2,440,5
8,0.2,450,5
8,0.2,460,5
8,0.2,470,5
8,0.2,480,5
8,0.2,490,5
8,0.2,500,5
8,0.5,0,50
8,0.5,10,35
8,0.5,20,20
8,0.5,30,10
8,0.5,40,10
8,0.5,50,5
8,0.5,60,5
8,0.5,70,5
8,0.5,80,5
8,0.5,90,5
8,0.5,100,5
8,0.5,110,5
8,0.5,120,5
8,0.5,130,5
8,0.5,140,5
8,0.5,150,5
8,0.5,160,5
8,0.5,170,5
8,0.5,180,5
8,0.5,190,5
8,0.5,200,5
8,0.5,210,5
8,0.5,220,5
8,0.5,230,5
8,0.5,240,5
8,0.5,250,5
8,0.5,260,5
8,0.5,270,5
8,0.5,280,5
8,0.5,290,5
8,0.5,300,5
8,0.5,310,5
8,0.5,320,5
8,0.5,330,5
8,0.5,340,5
8,0.5,350,5
8,0.5,360,5
8,0.5,370,5
8,0.5,380,5
8,0.5,390,5
8,0.5,400,5
8,0.5,410,5
8,0.5,420,5
8,0.5,430,5
8,0.5,440,5
8,0.5,450,5
8,0.5,460,5
8,0.5,470,5
8,0.5,480,5
8,0.5,490,5
8,0.5,500,5
8,1,0,50
8,1,10,35
8,1,20,15
8,1,30,10
8,1,40,5
8,1,50,5
8,1,60,5
8,1,70,5
8,1,80,5
8,1,90,5
8,1,100,5
8,1,110,5
8,1,120,5
8,1,130,5
8,1,140,5
8,1,150,5
8,1,160,5
8,1,170,5
8,1,180,5
8,1,190,5
8,1,200,5
8,1,210,5
8,1,220,5
8,1,230,5
8,1,240,5
8,1,250,5
8,1,260,5
8,1,270,5
8,1,280,5
8,1,290,5
8,1,300,5
8,1,310,5
8,1,320,5
8,1,330,5
8,1,340,5
8,1,350,5
8,1,360,5
8,1,370,5
8,1,380,5
8,1,390,5
8,1,400,5
8,1,410,5
8,1,420,5
8,1,430,5
8,1,440,5
8,1,450,5
8,1,460,5
8,1,470,5
8,1,480,5
8,1,490,5
8,1,500,5
8,2,0,50
8,2,10,35
8,2,20,15
8,2,30,5
8,2,40,5
8,2,50,5
8,2,60,5
8,2,70,5
8,2,80,5
8,2,90,5
8,2,100,5
8,2,110,5
8,2,120,5
8,2,130,5
8,2,140,5
8,2,150,5
8,2,160,5
8,2,170,5
8,2,180,5
8,2,190,5
8,2,200,5
